Exercise,Weight,Repetitions,Belt,Wraps,Dropset
Squat,20,10,no,no,no
Squat,20,10,no,no,no
Squat,60,5,no,no,no
Squat,100,3,no,no,no
Squat,135,2,no,no,no
Squat,145,1,no,no,no
Squat,155,1,no,no,no
Squat,165,1,no,no,no
Squat,165,1,no,no,no
Squat,165,3,no,no,no
Bench Press,20,15,no,no,no
Bench Press,40,8,no,no,no
Bench Press,60,8,no,no,no
Bench Press,75,8,no,no,no
Bench Press,87.5,6,no,no,no
Bench Press,87.5,7,no,no,no
Bench Press,87.5,6,no,no,no
Standing Barbell Military Press,20,8,no,no,no
Standing Barbell Military Press,40,8,no,no,no
Standing Barbell Military Press,50,5,no,no,no
Standing Barbell Military Press,60,5,no,no,no
Standing Barbell Military Press,60,4,no,no,no
Behind the Neck Snatch Grip Press,20,8,no,no,no
Behind the Neck Snatch Grip Press,30,8,no,no,no
Behind the Neck Snatch Grip Press,35,8,no,no,no
Behind the Neck Snatch Grip Press,35,8,no,no,no
Behind the Neck Snatch Grip Press,35,8,no,no,no
Behind the Neck Lat Pulldowns,50,8,no,no,no
Behind the Neck Lat Pulldowns,60,8,no,no,no
Behind the Neck Lat Pulldowns,60,8,no,no,no
Behind the Neck Lat Pulldowns,60,8,no,no,no